"WAVEFORM","tensionLevel","Test_Group"
1.4,"Most","Amplitude"
1.3,"Most","Amplitude"
1.3,"Most","Amplitude"
1.4,"Most","Amplitude"
1.4,"Most","Amplitude"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.3,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.2,"Least","Attack"
2.1,"Least","Attack"
2.2,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.3,"Least","Attack"
2.2,"Least","Attack"
2.1,"Least","Attack"
2.3,"Least","Attack"
2.1,"Least","Attack"
2.3,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.2,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.2,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Attack"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.2,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.2,"Least","Release"
2.1,"Least","Release"
2.2,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.3,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.2,"Least","Release"
2.1,"Least","Release"
2.3,"Least","Release"
2.4,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.2,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.2,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Release"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.4,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.4,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Frequency"
2.3,"Least","Frequency"
2.4,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Frequency"
2.2,"Least","Frequency"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.4,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.2,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.3,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.4,"Least","Amplitude"
2.4,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.4,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.2,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
2.1,"Least","Amplitude"
